ءی	1.0	i
آ 1.0	A 
پخته 1.0	p U x td A 
پختونخوا	1.0	p U x td u n y x A
پذیر 1.0	p y z i r 
پر 1.0	p U r 
پر 1.0	p y r 
پراءمری 1.0	p y r A i m r i 
پراءیویٹ 1.0	p i r A i v e t' 
پرانا 1.0	p U r A n A 
پرانی 1.0	p U r A n i 
پرانے 1.0	p U r A n e 
پرتگالیوں 1.0	p U r td y g A l i o~ 
پردیکھا	1.0	p y r dd e kh A
پردے	1.0	p y r dd e
پرزوں 1.0	p U r z o~ 
پرندوں 1.0	p y r i n dd o~ 
پرندے 1.0	p y r i n dd e 
پرنٹنگ 1.0	p y r i n t' i N 
پرواز 1.0	p y r v A z 
پروجیکٹ 1.0	p y r o dZ e k t' 
پرورش 1.0	p y r v y r i S 
پروف 1.0	p U r u f 
پروفاءل 1.0	p y r o f A i l 
پروفیسر 1.0	p y r O f Y s y r 
پروگرام 1.0	p O g r A m 
پروگرام 1.0	p r O g r A m 
پروگرام 1.0	p y r O g y r A m 
پروں 1.0	p y r o~ 
پرویز 1.0	p y r v e z 
پرپٹکتا	1.0	p y r p y t' k td A
پرپیوند	1.0	p y r p i j u n dd
پرچے 1.0	p y r tS e 
پریزنٹیشن 1.0	p r Y z y n t' e S y n 
پریس 1.0	p y r e s 
پریشر 1.0	p i r e S y r 
پریوں 1.0	p y r j o~ 
پسمانده 1.0	p y s m A n dd A 
پسند 1.0	p y s y n dd 
پسندیده 1.0	p y s y n dd i dd A 
پسے 1.0	p i s e 
پشاور 1.0	p i S A v y r 
پشین 1.0	p i S i n 
پل 1.0	p U l 
پلاءو 1.0	p y l A o 
پلاءی 1.0	p i l A i 
پلی 1.0	p i l l i 
پلیٹ 1.0	p y l e t' 
پن 1.0	p i n 
پنجاب 1.0	p y n dZ A b 
پنجوں 1.0	p y n dZ o~ 
پنجگور	1.0	p y n dZ y g o r
پنجے 1.0	p y n dZ e 
پندره 1.0	p y n dd r A 
پنشن 1.0	p y n S y n 
پنوکیوهر	1.0	p y n O k i o h y r
په 1.0	p e 
پهاڑوں 1.0	p y h A r' o~ 
پهاڑیوں 1.0	p y h A r' i o~ 
پهر 1.0	p E h E r 
پهره 1.0	p y h r A 
پهلا 1.0	p E h l 
پهلوءوں 1.0	p y h l u o~ 
پهلی 1.0	p Y h l i 
پهلے 1.0	p E h l e 
پهنچ 1.0	p U h y n tS 
پهنچ 1.0	p o n tS 
پهنچا 1.0	p y h U n tS A 
پهنچاءی 1.0	p U h n tS A i 
پهنچتا 1.0	p y h U n tS td A 
پهنچتے 1.0	p y h U n tS td e 
پهنچنا 1.0	p y h U n tS n A 
پهنچنے 1.0	p y h U n tS n e 
پهنچیں 1.0	p U h n tS e~ 
پهنچے 1.0	p y h U n tS e 
پهچان 1.0	p e h tS A n 
پهچان 1.0	p e tS A n 
پهچان 1.0	p y h tS A n 
پهیلاءی	1.0	p y h i l A i
پور 1.0	p u r 
پورا 1.0	p u r A 
پورٹ 1.0	p o r t' 
پورٹرز	1.0	p o r t' y r z
پوری 1.0	p u r i 
پورے 1.0	p u r e 
پوسٹ 1.0	p o s t' 
پوشیده 1.0	p o S i dd A 
پولو 1.0	p o l o 
پولیس 1.0	p U l i s 
پولیسنگ	1.0	p o l Y s y N
پولیو 1.0	p o l i o 
پولے 1.0	p o l e 
پوٹر 1.0	p o t' y r 
پوچھ 1.0	p u tSh 
پوچھا 1.0	p u tSh A 
پوچھاکه	1.0	p u tSh A k A
پوچھتا 1.0	p u tSh td A 
پوچھتے 1.0	p u tSh td e 
پوچھنے 1.0	p u tSh n e 
پوچھے 1.0	p u tSh e 
پٹانگ	1.0	p y t' A N
پٹخ 1.0	p y t' y x 
پٹے 1.0	p i t' e 
پچاس 1.0	p y tS A s 
پچھتا 1.0	p y tSh td A 
پچھلا 1.0	p i tSh l A 
پچھلے 1.0	p i tSh l e 
پچیده	1.0	p i tS i dd A
پچیدگیاں	1.0	p i tS i dd y g A~
پچیس 1.0	p y tS tS i s 
پڑ 1.0	p y r' 
پڑا 1.0	p U r' A 
پڑتا 1.0	p y r' td A 
پڑتی 1.0	p y r' td i 
پڑتے 1.0	p y r' td e 
پڑجاءے	1.0	p y r' y dZ A e
پڑھ 1.0	p y r'h 
پڑھا 1.0	p y r'h A 
پڑھانا 1.0	p y r'h A n A 
پڑھانی 1.0	p y r'h A n i 
پڑھانے 1.0	p y r'h A n e 
پڑھتا 1.0	p y r'h td A 
پڑھنا 1.0	p y r'h n A 
پڑھنے 1.0	p y r'h n e 
پڑھیں 1.0	p y r'h e~ 
پڑھے 1.0	p y r'h e 
پڑی 1.0	p y r' i 
پڑے 1.0	p U r' e 
پک 1.0	p i k 
پکا 1.0	p y k k A 
پکانے 1.0	p y k A n e 
پکایا 1.0	p y k A j A 
پکنے 1.0	p y k n e 
پکوان 1.0	p y k v A n 
پکوانوں 1.0	p y k v A n o~ 
پکچراءز 1.0	p i k tS y r A i z 
پکڑ 1.0	p y k y r' 
پکڑا 1.0	p y k r' A 
پکڑنے 1.0	p y k y r' n e 
پھر 1.0	ph i r 
پھربھی	1.0	ph y r bh i
پھرتی 1.0	ph U r td i 
پھرنا 1.0	ph i r n A 
پھلا 1.0	ph U l A 
پھنس 1.0	ph y n s 
پھنسے 1.0	ph y n s e 
پھوٹا 1.0	ph u t' A 
پھٹا 1.0	ph y t' A 
پھٹے 1.0	ph y t' e 
پھیری 1.0	ph e r i 
پھیل 1.0	ph Y l 
پھیلاءیں 1.0	ph Y l A e~ 
پھیپھڑوں 1.0	ph e ph r' o~ 
پی 1.0	p i 
پیار 1.0	p i j A r 
پیاری 1.0	p i j A r i 
پیارے 1.0	p i j A r e 
پیاز 1.0	p i j A z 
پیاس 1.0	p i j A s 
پیتا 1.0	p i td A 
پیدا 1.0	p Y dd A 
پیداءش 1.0	p Y dd A i S 
پیداوار 1.0	p Y dd A v A r 
پیر 1.0	p i r 
پیراءے 1.0	p Y r A e 
پیراکی 1.0	p Y r A k i 
پیرس 1.0	p Y r y s 
پیسه 1.0	p Y s A 
پیسوں 1.0	p Y s o~ 
پیسے 1.0	p Y s e 
پیش 1.0	p e S 
پیشکش 1.0	p e S k y S 
پیغام 1.0	p Y 7 A m 
پیلے 1.0	p i l e 
پیما 1.0	p Y m A 
پیماءش 1.0	p Y m A i S 
پیماءی 1.0	p Y m A i 
پینا 1.0	p i n A 
پینڈو 1.0	p e n d' u 
پینے 1.0	p i n e 
پیوند 1.0	p Y v y n dd 
پیپلز	1.0	p Y p y l z
پیچھے 1.0	p i tSh e 
پے 1.0	p e 
چ	1.0	tS
چاءیے	1.0	tS A i e
چار 1.0	tS A r 
چارج 1.0	tS A r dZ 
چاروں 1.0	tS A r o~ 
چالیس 1.0	tS A l i s 
چاند 1.0	tS A n dd 
چاه 1.0	tS A 
چاهءیے 1.0	tS A h i i e 
چاهت 1.0	tS A h y td 
چاهتا 1.0	tS A h td A 
چاهتا 1.0	tS A td A 
چاهتیں 1.0	tS A h td i~ 
چاهتے 1.0	tS A h td e 
چاهیءں	1.0	tS A h i A~
چاهیں 1.0	tS A h i~ 
چاهیے 1.0	tS A h j e 
چاهے 1.0	tS A h e 
چاول 1.0	tS A v y l 
چاپ 1.0	tS A p 
چرا 1.0	tS i r A 
چراغوں 1.0	tS y r A 7 o~ 
چستی 1.0	tS U s td i 
چل 1.0	tS U l 
چلا 1.0	tS i l l A 
چلاتے 1.0	tS y l A td e 
چلانے 1.0	tS y l A n e 
چلاگیا	1.0	tS y l A g i j A
چلایا 1.0	tS y l A j A 
چلتا 1.0	tS y l td A 
چلتی 1.0	tS y l td i 
چلتے 1.0	tS y l td e 
چلنا 1.0	tS y l n A 
چلنے 1.0	tS y l n e 
چلو 1.0	tS U l l u 
چلوں 1.0	tS y l u~ 
چلی 1.0	tS i l i 
چلے 1.0	tS i l l e 
چمن 1.0	tS y m y n 
چمٹوں 1.0	tS i m t' u~ 
چمک 1.0	tS y m y k 
چناب 1.0	tS y n A b 
چنانچه 1.0	tS U n A tS e 
چند 1.0	tS y n dd 
چوتھی 1.0	tS O tdh i 
چوده 1.0	tS o dd A 
چوروں 1.0	tS o r o~ 
چوری 1.0	tS o r i 
چولستان 1.0	tS o l i s td A n 
چومے 1.0	tS u m e 
چونا 1.0	tS u n A 
چونکه 1.0	tS u n k e 
چوهدری 1.0	tS O h dd y r i 
چوهے 1.0	tS u h e 
چوٹی 1.0	tS o t' i 
چوٹیاں 1.0	tS o t' i j A~ 
چوٹیوں 1.0	tS o t' i o~ 
چوگنی 1.0	tS O g n i 
چٹا 1.0	tS i t' t' A 
چپ 1.0	tS U p 
چپرار	1.0	tS U p y r A r
چچا 1.0	tS y tS A 
چڑھاءی 1.0	tS y r'h A i 
چڑھنا 1.0	tS y r'h n A 
چڑھنے 1.0	tS y r'h n e 
چکا 1.0	tS U k k A 
چکر 1.0	tS y k r 
چکی 1.0	tS U k i 
چکے 1.0	tS U k e 
چھ 1.0	tSh e 
چھبیس 1.0	tSh y b b i s 
چھت 1.0	tSh y td 
چھتر 1.0	tSh y td y r 
چھتیں 1.0	tSh y td e~ 
چھن	1.0	tSh y n
چھو 1.0	tSh u 
چھوٹی 1.0	tSh o t' i 
چھوٹی 1.0	tSh u t' i 
چھوٹے 1.0	tSh o t' e 
چھوٹے 1.0	tSh u t' e 
چھوڑ 1.0	tSh o r' 
چھوڑا 1.0	tSh o r' A 
چھوڑتے 1.0	tSh o r' td e 
چھٹی 1.0	tSh U t' i 
چھٹیاں 1.0	tSh U t' t' i j A~ 
چھٹیوں	1.0	tSh y t' i o~
چھپاءے 1.0	tSh U p A e 
چھپے 1.0	tSh U p e 
چھپے 1.0	tSh y p e 
چھڑ 1.0	tSh i r' 
چھڑاءے 1.0	tSh U r' A e 
چھڑی 1.0	tSh y r' i 
چی 1.0	tS i 
چیءرمین 1.0	tS e y r m Y n 
چیءرپرسن 1.0	tS e y r p y r s y n 
چیز 1.0	tS i z 
چیزوں 1.0	tS i z o~ 
چیزیں 1.0	tS i z e~ 
چیلنج 1.0	tS Y l y n dZ 
چیلوں 1.0	tS i l o~ 
چین 1.0	tS i n 
چینی 1.0	tS i n i 
چینیوں 1.0	tS i n i o~ 
چیٹ 1.0	tS i t' 
چیک 1.0	tS e k 
ڈاءننگ 1.0	d' A i n i N 
ڈاءنوساروں	1.0	d' A i n v y s A r o~
ڈاءون 1.0	d' A u n 
ڈار 1.0	d' A r 
ڈال 1.0	d' A l 
ڈالر 1.0	d' O l y r 
ڈالنے 1.0	d' A l n e 
ڈالیاں 1.0	d' A l i j A~ 
ڈالے 1.0	d' A l e 
ڈان 1.0	d' A n 
ڈاکٹر 1.0	d' A k t' y r 
ڈاکڑ	1.0	d' A k y r'
ڈاکڑکو	1.0	d' A k y r' k o
ڈاکے 1.0	d' A k e 
ڈبو 1.0	d' U b o 
ڈر 1.0	d' y r 
ڈراءونی 1.0	d' y r A u n i 
ڈراءیو 1.0	d' y r A i o 
ڈراءیور 1.0	d' y r A i v y r 
ڈراءیورز 1.0	d' y r A i v y r z 
ڈراءیونگ 1.0	d' y r A i v i N 
ڈرامه 1.0	d' y r A m A 
ڈراموں 1.0	d' y r A m o~ 
ڈریم 1.0	d' i r i m 
ڈرے 1.0	d' y r e 
ڈسٹرب 1.0	d' i s t' y r b 
ڈش 1.0	d' i S 
ڈنر 1.0	d' i n y r 
ڈنڈا 1.0	d' y n d' A 
ڈو 1.0	d' u 
ڈپٹی 1.0	d' i p t' i 
ڈھلوان 1.0	d'h y l v A n 
ڈھکے 1.0	d'h y k e 
ڈھیر 1.0	d'h e r 
ڈی 1.0	d' i 
ڈیلرز 1.0	d' i l y r z 
ڈیم 1.0	d' e m 
ڈیوٹی 1.0	d' i j u t' i 
ڈیٹا 1.0	d' e t' A 
ڈیڑھ 1.0	d' e r'h 
ڑے 1.0	r' e 
کءی 1.0	k y i 
کءے 1.0	k i e 
کا 1.0	k A 
کاءنات 1.0	k A i n A td 
کاءونٹر 1.0	k A u n t' y r 
کااحساس	1.0	k A i s
کابل 1.0	k A b U l 
کابینه 1.0	k A b i n A 
کار 1.0	k A r 
کاررواءی 1.0	k A r r v A i 
کارندوں 1.0	k A r i n dd o~ 
کاروءی	1.0	k A r u i
کاروباری 1.0	k A r o b A r i 
کاروں 1.0	k A r o~ 
کارٹون 1.0	k A r t' u n 
کارپوریشن 1.0	k A r p o r e S y n 
کارڈ 1.0	k A r d' 
کارکردگی 1.0	k A r k y r dd y g i 
کاری 1.0	k A r i 
کاریوں 1.0	k A r i o~ 
کاش 1.0	k A S 
کاشت 1.0	k A S td 
کاشتکاری 1.0	k A S td k A r i 
کاشف 1.0	k A S i f 
کافی 1.0	k A f i 
کال 1.0	k A l 
کالا 1.0	k A l A 
کالج 1.0	k A l i dZ 
کالجز 1.0	k A l dZ i z 
کالز 1.0	k A l z 
کالعدم 1.0	k y l y dd y m 
کالنگ 1.0	k A l i N 
کالونی 1.0	k A l u n i 
کام 1.0	k A m 
کامل 1.0	k A m i l 
کاموں 1.0	k A m o~ 
کامیاب 1.0	k A m j A b 
کامیابی 1.0	k A m i j A b i 
کان 1.0	k A n 
کانفرنس 1.0	k A n f y r i n s 
کانوں 1.0	k A n o~ 
کاٹنے 1.0	k A t' n e 
کاپلندا	1.0	k A p y l y n dd A
کب 1.0	k y b 
کبڈی 1.0	k y b y d' d' i 
کبھی 1.0	k y bh i 
کتا 1.0	k U td td A 
کتاب 1.0	k i td A b 
کتابوں 1.0	k i td A b o~ 
کتابیں 1.0	k i td A b e~ 
کتب 1.0	k U td U b 
کتراتے 1.0	k y td r A td e 
کتنی 1.0	k i td n i 
کتنے 1.0	k i td n e 
کتوں 1.0	k U td td o~ 
کر 1.0	k y r 
کرا 1.0	k y r A 
کراءی 1.0	k y r A i 
کراءے 1.0	k i r A e 
کراتے 1.0	k y r A td e 
کرارهے	1.0	k y r A r y h e
کرام 1.0	k y r A m 
کراچ	1.0	k y r A tS
کراچی 1.0	k y r A tS i 
کرب 1.0	k y r b 
کربتایا	1.0	k y r b y td A j A
کرتا 1.0	k U r td A 
کرتاهے 1.0	k y r td A h Y 
کرتب 1.0	k y r td y b 
کرتی 1.0	k U r td i 
کرتے 1.0	k U r td e 
کردار 1.0	k i r dd A r 
کرده 1.0	k y r dd A 
کردو	1.0	k y r dd o
کردی 1.0	k y r dd i 
کردیءے 1.0	k y r dd i e 
کردیا 1.0	k y r dd i j A 
کررها 1.0	k y r r y h A 
کرسکتا 1.0	k y r s y k td A 
کرسکتے 1.0	k y r s y k td e 
کرسکیں 1.0	k y r s y k Y~ 
کرسی 1.0	k U r s i 
کرفیو 1.0	k y r f i j u 
کرلی 1.0	k y r l i 
کرنا 1.0	k y r n A 
کرنی 1.0	k y r n i 
کرنے 1.0	k y r n e 
کرو 1.0	k y r o 
کرواتی 1.0	k y r v A td i 
کروانے 1.0	k y r v A n e 
کروایا 1.0	k y r v A j A 
کروڑ 1.0	k y r O r' 
کروڑوں 1.0	k y r o r' o~ 
کرپشن 1.0	k y r y p S y n 
کرپٹ 1.0	k y r y p t' 
کرکٹ 1.0	k i r k i t' 
کرکٹر 1.0	k i r k t' y r 
کرکٹرز 1.0	k i r i k t' y r z 
کرکے 1.0	k y r k e 
کرگیا 1.0	k y r g y j A 
کریم 1.0	k y r i m 
کرینگے 1.0	k y r Y N g e 
کریں 1.0	k y r e~ 
کرے 1.0	k y r e 
کس 1.0	k y s 
کسک 1.0	k y s y k 
کسی 1.0	k i s i 
کشتی 1.0	k U S td i 
کشش 1.0	k y S i S 
کشمکش 1.0	k y S m y k y S 
کشمیر 1.0	k y S m i r 
کشمیری 1.0	k y S m i r i 
کشی 1.0	k U S i 
کل 1.0	k U l 
کل 1.0	k y l 
کلب 1.0	k l y b 
کلب 1.0	k y l b 
کله 1.0	k U l l A 
کلو 1.0	k i l o 
کلومیٹر 1.0	k i l O m i t' y r 
کلچر 1.0	k y l tS y r 
کلیاں 1.0	k y l i j A~ 
کلیجه 1.0	k y l e dZ A 
کم 1.0	k i m 
کم 1.0	k y m 
کمال 1.0	k y m A l 
کمانا 1.0	k y m A n A 
کمانڈ 1.0	k y m A n d' 
کمانڈر 1.0	k y m A n d' y r 
کمانڈروں 1.0	k y m A n d' y r o~ 
کمتر 1.0	k y m td y r 
کمرے 1.0	k y m r e 
کمزور 1.0	k y m z o r 
کمشنر 1.0	k y m i S n y r 
کمپنی 1.0	k y m p y n i 
کمپیوٹر 1.0	k y m p i j u t' y r 
کمی 1.0	k y m i 
کمیشن 1.0	k y m i S y n 
کمین 1.0	k y m i n 
کمیٹی 1.0	k y m e t' i 
کن 1.0	k U n 
کنار	1.0	k y n A r
کناروں 1.0	k i n A r o~ 
کندھوں 1.0	k y n ddh o~ 
کنسر	1.0	k y n s y r
کنٹرول 1.0	k y n t' r o l 
که 1.0	k e 
کها 1.0	k y h A 
کهاتیری	1.0	k y h A td i r i
کهاجاتاهے	1.0	k y h A dZ A td A h e
کهانی 1.0	k y h A n i 
کهانیاں 1.0	k y h A n i j A~ 
کهاں 1.0	k y h A~ 
کهتی 1.0	k y h td i 
کهتے 1.0	k y h td e 
کهنا 1.0	k Y h n A 
کهنے 1.0	k y h n e 
کهه	1.0	k y h A
کهی 1.0	k U h i 
کهیں 1.0	k y h i~ 
کو 1.0	k o 
کوء	1.0	k o
کوءٹه 1.0	k o e t' A 
کوءی 1.0	k o i 
کوءیسچن	1.0	k o i s tS y n
کوآرڈینیٹر 1.0	k o A r d' i n e t' y r 
کواگر	1.0	k v A g y r
کوایسی	1.0	Y s i
کوجک	1.0	k o dZ y k
کود 1.0	k u dd 
کورس 1.0	k o r s 
کورسسز	1.0	k o r y s s i z
کوشش 1.0	k o S i S 
کون 1.0	k O n 
کون 1.0	k o n 
کونسی 1.0	k O n s i 
کونفلکٹ	1.0	k o n y f y l k t'
کونے 1.0	k o n e 
کوه 1.0	k o 
کوٹ 1.0	k u t' 
کوٹھڑی 1.0	k o t'h r' i 
کوچ 1.0	k o tS 
کوچاهءے	1.0	k o tS A h y e
کٹ 1.0	k y t' 
کپ 1.0	k y p 
کپڑے 1.0	k y p r' e 
کچن 1.0	k i tS y n 
کچهری 1.0	k y tS y h r i 
کچھ 1.0	k U tSh 
کھا 1.0	kh A 
کھاءی 1.0	kh A i 
کھاءے 1.0	kh A e 
کھاتے 1.0	kh A td e 
کھانا 1.0	kh A n A 
کھانوں 1.0	kh A n o~ 
کھانے 1.0	kh A n e 
کھرونچوں	1.0	kh y r u n tS o~
کھل 1.0	kh U l 
کھلاڑی 1.0	kh i l A r' i 
کھلونے 1.0	kh i l o n e 
کھو 1.0	kh o 
کھوءی 1.0	kh u i 
کھوج 1.0	kh o dZ 
کھول 1.0	kh o l 
کھولا 1.0	kh o l A 
کھچا 1.0	kh i tS tS A 
کھڑا 1.0	kh y r' A 
کھڑی 1.0	kh y r' i 
کھڑے 1.0	kh y r' e 
کھیل 1.0	kh i l 
کھیلا 1.0	kh e l A 
کھیلوں 1.0	kh e l u~ 
کھیلیں 1.0	kh e l e~ 
کی 1.0	k i 
کیا 1.0	k i A 
کیا 1.0	k i j A 
کیاجاتا 1.0	k i j A dZ A td A 
کیاجاتاهے	1.0	k i j A dZ A td A h e
کیسا 1.0	k Y s A 
کیسی 1.0	k Y s i 
کیسے 1.0	k Y s e 
کیفیت 1.0	k Y f i j y td 
کیلءے 1.0	k e l i e 
کیلیفورنیا 1.0	k Y l i f o r n i j A 
کیمروں 1.0	k Y m r o~ 
کیمرے 1.0	k Y m r e 
کیمپ 1.0	k Y m p 
کینیڈا 1.0	k Y n e d' A 
کیوجه 1.0	k i v y dZ A 
کیوسک 1.0	k i j u s i k 
کیونکه 1.0	k i j u n k e 
کیوں 1.0	k i v U 
کیوںکر	1.0	k i o~ k y r
کیپٹن 1.0	k Y p t' y n 
کیں 1.0	k i~ 
کیے 1.0	k i e 
کے 1.0	k e 
کےلءیے	1.0	k e l y i e
کےچار	1.0	k e tS A r
گءی 1.0	g y i 
گءیں 1.0	g y i~ 
گءے 1.0	g y e 
گا 1.0	g A 
گاءوں 1.0	g A o~ 
گاءیڈوں 1.0	g A i d' o~ 
گاتے 1.0	g A td e 
گار 1.0	g A r 
گانا 1.0	g A n A 
گانے 1.0	g A n e 
گاهکوں 1.0	g A h y k o~ 
گاڑھتی	1.0	g A r'h td i
گاڑی 1.0	g A r' i 
گاڑیاں 1.0	g A r' i j A~ 
گاڑیوں 1.0	g A r' i o~ 
گاکه	1.0	g A k A
گایا 1.0	g A j A 
گجرانواله 1.0	g U dZ r A n v A l A 
گدلا 1.0	g y dd l A 
گدڑی 1.0	g U dd r' i 
گذشته	1.0	g U z S td A
گر 1.0	g U r 
گراس	1.0	g y r A s
گرایا 1.0	g i r A j A 
گربا	1.0	g y r b A
گرتے 1.0	g i r td e 
گردابوں 1.0	g i r dd A b o~ 
گردش 1.0	g y r dd i S 
گردی 1.0	g y r dd i 
گرفت 1.0	g i r i f td 
گرم 1.0	g y r m 
گرما 1.0	g y r m A 
گرمیوں 1.0	g y r m i o~ 
گرنے 1.0	g i r n e 
گروه 1.0	g i r o 
گرگءی	1.0	g y r g y i
گری 1.0	g i r i 
گریب 1.0	g i r i b 
گریجوءٹس	1.0	g y r i dZ u i t' s
گریز 1.0	g U r e z 
گز 1.0	g y z 
گزار 1.0	g U z A r 
گزارتا 1.0	g U z A r td A 
گزارنے 1.0	g U z A r n e 
گزر 1.0	g U z y r 
گزرا 1.0	g U z r A 
گزرتے 1.0	g U z y r td e 
گزرنے 1.0	g U z y r n e 
گزری 1.0	g U z r i 
گزرے 1.0	g U z r e 
گزشته 1.0	g U z y S td A 
گزیده 1.0	g U z i dd A 
گفتگو 1.0	g U f td g u 
گل 1.0	g U l 
گلبدین	1.0	g U l b y dd i n
گلدستوں 1.0	g U l dd y s td o~ 
گله 1.0	g U l A 
گلوکا	1.0	g U l o k A
گلوکار 1.0	g U l u k A r 
گلگت 1.0	g i l g i td 
گلی 1.0	g i l l i 
گلیشءرز	1.0	g y l e S i y r z
گلیوں 1.0	g y l i o~ 
گم 1.0	g U m 
گماشتوں 1.0	g U m A S td o~ 
گماشتے 1.0	g U m A S td e 
گمراهی 1.0	g U m r A h i 
گن 1.0	g U n 
گنا 1.0	g i n A 
گناه 1.0	g U n A 
گناهوں 1.0	g U n A h o~ 
گناهگار 1.0	g U n A h g A r 
گندے 1.0	g y n dd e 
گنٹھیا 1.0	g y n t'h i j A 
گنڈا 1.0	g y n d' A 
گنگ 1.0	g U N 
گنگناءیں	1.0	g y N g y n A i~
گهرا 1.0	g y h r A 
گهری 1.0	g y h r i 
گهرے 1.0	g y h r e 
گو 1.0	g o 
گواه 1.0	g y v A 
گورنر 1.0	g y v y r n y r 
گورنمنٹ 1.0	g y v y r n m i n t' 
گوشت 1.0	g o S 
گوشت 1.0	g o S td 
گوله 1.0	g o l A 
گولی 1.0	g o l i 
گولیوں 1.0	g o l i o~ 
گولے 1.0	g o l e 
گوگل 1.0	g u g y l 
گویا 1.0	g o j A 
گڈو 1.0	g U d' d' u 
گھر 1.0	gh y r 
گھرا 1.0	gh i r A 
گھرانے 1.0	gh y r A n e 
گھروں 1.0	gh y r o~ 
گھما 1.0	gh U m A 
گھنٹه 1.0	gh y n t' A 
گھنٹوں 1.0	gh y n t' o~ 
گھنٹی 1.0	gh y n t' i 
گھنٹے 1.0	gh y n t' e 
گھور 1.0	gh u r 
گھولنے 1.0	gh o l n e 
گھٹن 1.0	gh U t' y n 
گھٹیا 1.0	gh y t' j A 
گھپ 1.0	gh U p 
گھڑی 1.0	gh y r' i 
گی 1.0	g i 
گیا 1.0	g e A 
گیا 1.0	g y j A 
گیااور	1.0	g i j A o r
گیاره 1.0	g e A r A 
گیس 1.0	g Y s 
گیم 1.0	g e m 
گیمز 1.0	g e m z 
گیوزیپی	1.0	g i o z i p i
گیے	1.0	g i e
گے 1.0	g e 
یا 1.0	j A 
یاب 1.0	j A b 
یاد 1.0	j A dd 
یاداداشت	1.0	j A dd A dd A S td
یادداشت 1.0	j A dd dd A S td 
یادگار 1.0	j A dd g A r 
یار 1.0	j A r 
یافته 1.0	j A f td A 
یانوجوان	1.0	j A n O dZ y v A n
یاکھیل	1.0	j A kh i l
یعنی 1.0	j y y n i 
یقین 1.0	j y q i n 
یقینا 1.0	j y q i n y n 
یقینی 1.0	j y q i n i 
یه 1.0	j e 
یهاں 1.0	j y h A~ 
یهی 1.0	j e h i 
یهی 1.0	j e i 
یهیں 1.0	j y h i~ 
یو 1.0	j u 
یورپ 1.0	j O r y p 
یورپی 1.0	j O r p i 
یوم 1.0	j O m 
یونیسیف 1.0	j u n i s Y f 
یونینز	1.0	j u n i n z
یونیورسٹی 1.0	j u n i v y r s i t' i 
یونیورسٹی 1.0	j u n i v y r s t' i 
یونیورسٹی 1.0	j u n v y r s t' i 
یونیورسٹیوں 1.0	j u n i v y r s t' i j o~ 
یونیورسٹیوں 1.0	j u n v y s t' i j o~ 
یوں 1.0	j u~ 
یک 1.0	j y k 
یکجا	1.0	m Y k y dZ Ae
یکساں 1.0	j y k s A~ 
یکسر 1.0	j y k s y r 
یں	1.0	i~
!SIL	1.0	SIL
